real_name,_well01_1,_well02_1,_well03_1,_well04_1,_well05_1,_well06_1,_well07_1,_well08_1,_well09_1,_well10_1,_well11_1,_well12_1
0,10,10,10,10,10,10,10,10,10,10,10,10
1,10,10,10,10,10,10,10,10,10,10,10,10
2,10,10,10,10,10,10,10,10,10,10,10,10
3,10,10,10,10,10,10,10,10,10,10,10,10
4,10,10,10,10,10,10,10,10,10,10,10,10
5,10,10,10,10,10,10,10,10,10,10,10,10
6,10,10,10,10,10,10,10,10,10,10,10,10
7,10,10,10,10,10,10,10,10,10,10,10,10
8,10,10,10,10,10,10,10,10,10,10,10,10
9,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10
11,10,10,10,10,10,10,10,10,10,10,10,10
12,10,10,10,10,10,10,10,10,10,10,10,10
13,10,10,10,10,10,10,10,10,10,10,10,10
14,10,10,10,10,10,10,10,10,10,10,10,10
15,10,10,10,10,10,10,10,10,10,10,10,10
16,10,10,10,10,10,10,10,10,10,10,10,10
17,10,10,10,10,10,10,10,10,10,10,10,10
18,10,10,10,10,10,10,10,10,10,10,10,10
19,10,10,10,10,10,10,10,10,10,10,10,10
20,10,10,10,10,10,10,10,10,10,10,10,10
21,10,10,10,10,10,10,10,10,10,10,10,10
22,10,10,10,10,10,10,10,10,10,10,10,10
23,10,10,10,10,10,10,10,10,10,10,10,10
24,10,10,10,10,10,10,10,10,10,10,10,10
25,10,10,10,10,10,10,10,10,10,10,10,10
26,10,10,10,10,10,10,10,10,10,10,10,10
27,10,10,10,10,10,10,10,10,10,10,10,10
28,10,10,10,10,10,10,10,10,10,10,10,10
29,10,10,10,10,10,10,10,10,10,10,10,10
30,10,10,10,10,10,10,10,10,10,10,10,10
31,10,10,10,10,10,10,10,10,10,10,10,10
32,10,10,10,10,10,10,10,10,10,10,10,10
33,10,10,10,10,10,10,10,10,10,10,10,10
34,10,10,10,10,10,10,10,10,10,10,10,10
35,10,10,10,10,10,10,10,10,10,10,10,10
36,10,10,10,10,10,10,10,10,10,10,10,10
37,10,10,10,10,10,10,10,10,10,10,10,10
38,10,10,10,10,10,10,10,10,10,10,10,10
39,10,10,10,10,10,10,10,10,10,10,10,10
